V,E,B,lb
2035,2778,5845,744
2018,2760,5854,743
2120,3043,5816,924
2051,2860,5806,810
2057,2927,5728,871
2009,2735,5827,727
2050,2858,5813,809
2032,2829,5736,798
2087,3000,5735,914
2006,2773,5738,768
2014,2780,5757,767
2088,2993,5750,906
2069,2923,5776,855
2029,2819,5779,791
2094,2997,5757,904
2041,2867,5741,827
2050,2887,5733,838
1995,2706,5812,712
2019,2792,5785,774
2024,2829,5752,806
1987,2694,5797,708
1987,2726,5722,740
2156,3220,5683,1065
2050,2917,5712,868
2034,2872,5697,839
2005,2766,5740,762
2084,2983,5708,900
2074,2903,5846,830
2061,2919,5714,859
2065,2964,5703,900
2073,2948,5760,876
2056,2941,5678,886
2020,2864,5645,845
2004,2773,5774,770
2035,2845,5729,811
2053,2878,5791,826
2025,2831,5754,807
2054,2874,5798,821
2063,2919,5780,857
2073,2925,5823,853
2108,3061,5737,954
2003,2705,5857,703
2015,2794,5785,780
2026,2835,5723,810
2055,2909,5731,855
2055,2923,5705,869
2017,2783,5797,767
2032,2848,5758,817
2068,2941,5778,874
2074,2960,5773,887
2041,2847,5765,807
2008,2761,5789,754
2123,3104,5749,982
2017,2810,5745,794
2002,2733,5807,732
2039,2814,5847,776
1994,2714,5774,721
2079,2996,5694,918
2009,2809,5705,801
2039,2856,5732,818
2040,2888,5704,849
2016,2774,5778,759
2005,2728,5811,724
2086,3000,5727,915
2034,2830,5781,797
2060,2896,5807,837
2056,2915,5728,860
2028,2844,5719,817
2064,2960,5714,897
2044,2928,5658,885
2065,2938,5767,874
2056,2884,5811,829
2094,3051,5698,958
2108,3083,5681,976
2072,2953,5723,882
1978,2658,5792,681
2086,2953,5812,868
2057,2935,5722,879
2013,2752,5813,740
2088,2980,5769,893
2033,2815,5811,783
1989,2719,5781,731
2009,2787,5707,779
2093,2995,5768,903
2049,2867,5800,819
2099,3071,5657,973
2072,2949,5767,878
2020,2803,5772,784
2098,3028,5737,931
2059,2949,5689,891
2056,2883,5789,828
2015,2835,5671,821
2052,2876,5782,825
2055,2896,5757,842
2093,3006,5767,914
2055,2877,5785,823
1996,2721,5785,726
2039,2876,5746,838
2033,2854,5744,822
2082,3015,5691,934
2052,2837,5853,786
1987,2725,5756,739
2018,2770,5830,753
2037,2838,5792,802
2041,2861,5770,821
2051,2888,5776,838
2072,2992,5701,921
2099,3034,5736,936
2059,2901,5777,843
2072,2880,5870,809
2039,2855,5751,817
2137,3117,5812,981
2037,2850,5786,814
2081,2944,5844,864
2076,2997,5699,922
2022,2775,5835,754
2006,2805,5709,800
2014,2820,5711,807
2051,2885,5784,835
2033,2832,5755,800
1989,2718,5763,730
2031,2834,5738,804
2043,2860,5786,818
2087,2937,5869,851
2059,2895,5812,837
2106,3040,5780,935
2068,2930,5792,863
2028,2809,5780,782
2048,2886,5734,839
2012,2769,5769,758
2097,2974,5863,878
2065,2932,5742,868
2008,2784,5721,777
2047,2885,5769,839
2106,2984,5818,879
2068,2965,5711,898
2021,2803,5722,783
2097,3032,5723,936
2049,2904,5732,856
2039,2867,5748,829
2104,3052,5724,949
2042,2853,5758,812
2047,2895,5757,849
2092,2991,5843,900
2051,2852,5841,802
2063,2889,5792,827
2086,3023,5699,938
2065,2904,5789,840
2050,2858,5796,809
2053,2853,5816,801
2057,2897,5766,841
2045,2879,5759,835
2098,3054,5678,957
2036,2847,5757,812
2007,2764,5719,758
2012,2770,5790,759
2035,2846,5738,812
2076,3026,5665,951
2034,2805,5818,772
2061,2923,5753,863
2053,2873,5782,821
2164,3227,5701,1064
2068,2934,5795,867
1975,2680,5735,706
2045,2908,5690,864
2086,2938,5858,853
2036,2840,5814,805
2067,2869,5886,803
2025,2839,5711,815
2005,2730,5791,726
2033,2870,5708,838
2029,2825,5773,797
2070,2934,5804,865
2040,2876,5722,837
2051,2906,5758,856
2002,2745,5756,744
2071,2930,5799,860
2054,2888,5823,835
2012,2789,5755,778
2086,3006,5717,921
2038,2815,5809,778
2040,2845,5791,806
1992,2657,5902,666
2095,3003,5781,909
2091,3011,5744,921
2033,2861,5697,829
1997,2746,5750,750
2001,2742,5786,742
2026,2823,5743,798
2047,2875,5745,829
2081,2917,5856,837
2068,2911,5846,844
2013,2787,5780,775
2013,2763,5799,751
2100,3051,5711,952
2104,3072,5677,969
2010,2757,5761,748
2002,2791,5681,790
2036,2860,5739,825
2041,2886,5723,846
2031,2851,5725,821
2034,2826,5784,793
2041,2873,5746,833
2079,2953,5782,875
2111,3092,5692,982
2096,2990,5813,895
2041,2838,5787,798
2083,2951,5805,869
2039,2853,5734,815
2077,2999,5700,923
2066,2968,5690,903
2056,2892,5785,837
2049,2928,5691,880
2095,3001,5803,907
2077,2943,5761,867
2028,2808,5797,781
2018,2749,5826,732
2054,2886,5793,833
2088,3015,5731,928
2067,2924,5774,858
2082,2970,5786,889
2020,2781,5792,762
2030,2851,5738,822
2013,2812,5716,800
2015,2780,5790,766
2027,2837,5722,811
2051,2908,5721,858
2094,2995,5801,902
2085,2962,5807,878
1991,2723,5767,733
2061,2918,5750,858
2070,2947,5730,878
2043,2839,5815,797
2035,2835,5784,801
2005,2718,5819,714
2046,2883,5745,838
2060,2918,5761,859
2039,2871,5720,833
2062,2916,5790,855
2059,2834,5910,776
2051,2859,5820,809
2015,2771,5799,757
2023,2814,5793,792
1976,2684,5752,709
2003,2776,5695,774
2060,2929,5771,870
2054,2918,5748,865
2013,2793,5755,781
2030,2808,5797,779
2014,2797,5746,784
2006,2735,5775,730
2063,2944,5706,882
2063,2960,5675,898
2116,3089,5711,974
2059,2956,5702,898
2090,2980,5783,891
1993,2768,5720,776
2068,2930,5754,863
2009,2779,5734,771
1996,2770,5717,775
2051,2896,5731,846
2014,2740,5837,727
2068,2962,5717,895
2062,2928,5729,867
2041,2872,5727,832
2070,2944,5801,875
2047,2883,5742,837
1989,2730,5730,742
2028,2835,5769,808
2111,3044,5749,934
1997,2720,5788,724
1987,2719,5747,733
2074,2966,5751,893
2005,2734,5823,730
2029,2824,5785,796
2002,2761,5749,760
2023,2762,5865,740
2006,2754,5785,749
2074,2968,5733,895
2088,2968,5846,881
2023,2763,5844,741
2000,2736,5778,737
2046,2873,5781,828
2084,3004,5739,921
2040,2833,5803,794
2082,2972,5777,891
2083,2949,5806,867
2063,2908,5803,846
2057,2902,5756,846
2071,2931,5796,861
2059,2914,5763,856
2031,2875,5672,845
2087,2962,5824,876
2054,2876,5798,823
2002,2740,5795,739
2040,2837,5800,798
2032,2839,5772,808
2049,2912,5718,864
2031,2820,5810,790
2031,2848,5726,818
2024,2795,5799,772
2038,2880,5697,843
2056,2871,5826,816
2064,2930,5786,867
2066,2920,5781,855
2059,2944,5704,886
2087,2993,5756,907
2050,2914,5702,865
2027,2859,5676,833
2051,2897,5721,847
2025,2832,5717,808
1998,2715,5802,718
2019,2755,5880,737
2029,2786,5867,758
2048,2866,5787,819
2105,3036,5739,932
2064,2926,5782,863
2086,2969,5794,884
2029,2812,5776,784
2022,2782,5829,761
2062,2937,5723,876
2041,2876,5743,836
2049,2902,5729,854
2091,2983,5780,893
2008,2763,5747,756
