V,C,genus,B
1896,1,834,5241
1922,1,859,5290
1980,1,938,5376
1946,1,865,5386
1937,1,846,5381
1979,1,884,5445
1927,1,859,5310
1878,1,805,5259
2011,1,957,5401
1925,1,842,5321
1988,1,882,5469
1885,1,840,5181
1973,1,901,5409
1955,1,897,5301
1898,1,857,5207
1954,1,911,5300
1952,1,895,5317
1998,1,905,5494
1974,1,873,5460
1952,1,827,5458
1936,1,787,5475
2009,1,973,5365
1921,1,821,5353
1916,1,818,5339
2011,1,972,5394
1935,1,795,5480
1934,1,865,5316
1957,1,910,5296
1941,1,897,5309
1975,1,866,5442
1940,1,858,5389
1916,1,867,5278
2031,1,988,5431
1989,1,876,5488
1920,1,827,5342
2003,1,914,5461
1940,1,805,5454
1962,1,878,5392
1979,1,887,5375
1942,1,880,5304
2013,1,907,5483
1992,1,926,5431
1972,1,882,5435
1840,1,769,5174
1902,1,797,5352
1948,1,866,5363
1924,1,851,5323
1927,1,841,5347
1979,1,905,5390
2000,1,913,5432
1937,1,813,5443
1947,1,851,5403
2022,1,925,5496
1984,1,890,5443
1908,1,805,5352
1937,1,814,5407
1964,1,914,5358
2037,1,999,5407
1980,1,938,5350
1936,1,822,5426
1945,1,803,5445
1919,1,857,5306
1890,1,797,5312
1939,1,881,5302
2011,1,931,5435
1984,1,950,5353
1930,1,813,5389
1945,1,861,5357
1946,1,941,5252
1909,1,804,5368
1826,1,735,5215
1977,1,862,5458
1937,1,854,5340
1879,1,793,5295
1974,1,897,5402
1900,1,796,5320
1929,1,866,5310
1944,1,794,5489
1959,1,902,5368
2045,1,970,5474
1965,1,894,5382
1966,1,864,5455
1998,1,937,5421
1940,1,870,5372
2033,1,989,5457
1888,1,818,5217
2018,1,933,5474
1839,1,812,5116
1972,1,912,5370
1950,1,874,5336
1985,1,900,5412
1999,1,921,5419
2015,1,951,5408
1982,1,910,5402
1896,1,809,5302
1937,1,850,5362
1996,1,921,5427
2004,1,979,5334
1965,1,871,5395
1971,1,891,5375
2047,1,992,5478
1970,1,890,5381
1959,1,873,5357
1968,1,918,5347
1964,1,900,5361
1932,1,848,5339
1926,1,851,5312
1956,1,870,5363
2006,1,988,5353
2038,1,983,5442
1914,1,873,5222
1959,1,863,5451
2013,1,927,5483
1949,1,853,5416
2004,1,926,5453
2014,1,937,5452
1940,1,882,5321
1939,1,825,5415
2020,1,944,5476
1973,1,875,5447
1973,1,820,5496
1959,1,909,5282
1972,1,919,5294
1979,1,892,5445
1908,1,794,5388
1891,1,820,5250
2028,1,974,5446
1945,1,867,5365
2013,1,916,5491
1923,1,874,5238
1967,1,876,5396
1907,1,779,5400
1948,1,850,5387
1987,1,910,5428
1992,1,955,5340
1985,1,866,5486
2037,1,973,5465
1899,1,823,5277
1984,1,945,5345
1970,1,874,5453
1953,1,868,5393
1960,1,864,5412
1957,1,898,5336
1965,1,862,5415
1886,1,810,5278
1958,1,893,5359
1937,1,888,5333
1967,1,894,5399
1957,1,888,5333
1935,1,858,5361
1900,1,796,5307
1889,1,793,5318
1991,1,884,5499
1939,1,879,5294
1892,1,819,5295
2011,1,943,5398
2077,1,1010,5524
2013,1,934,5415
2027,1,1014,5367
1929,1,854,5351
1979,1,864,5468
1921,1,860,5300
1926,1,807,5391
1918,1,794,5379
1927,1,837,5374
1995,1,975,5327
1909,1,829,5334
2066,1,1057,5415
2007,1,967,5357
2009,1,959,5393
1902,1,784,5362
1981,1,918,5397
1929,1,817,5400
2008,1,929,5461
1918,1,883,5250
2060,1,1025,5472
1951,1,861,5404
1853,1,775,5222
1932,1,825,5403
1919,1,895,5250
1946,1,912,5286
1929,1,884,5299
1960,1,818,5463
1995,1,940,5401
1910,1,775,5405
2010,1,984,5373
1994,1,950,5391
1932,1,846,5342
1994,1,965,5324
1930,1,843,5350
1998,1,978,5327
1925,1,801,5426
2026,1,911,5534
1958,1,871,5379
2029,1,947,5481
1914,1,804,5313
1971,1,870,5428
1970,1,890,5381
2000,1,935,5421
1920,1,891,5232
1910,1,811,5334
2020,1,952,5454
1990,1,884,5453
1962,1,973,5240
1987,1,958,5325
2038,1,916,5540
1986,1,879,5470
1993,1,937,5387
1982,1,913,5389
1954,1,854,5394
2035,1,985,5453
1978,1,912,5373
1904,1,762,5401
2033,1,943,5494
1979,1,872,5490
1999,1,963,5349
1965,1,926,5338
1930,1,804,5395
2016,1,953,5397
1959,1,840,5448
1937,1,854,5399
1925,1,920,5188
1987,1,942,5314
1940,1,892,5321
1970,1,883,5416
2003,1,895,5464
1951,1,867,5378
2009,1,889,5503
1925,1,855,5262
1995,1,976,5316
1914,1,917,5154
2060,1,1074,5369
1997,1,911,5434
2009,1,982,5364
1992,1,930,5400
1946,1,901,5272
1931,1,838,5374
1920,1,807,5368
2035,1,957,5458
1929,1,864,5318
1989,1,860,5523
2017,1,981,5401
1941,1,878,5350
1960,1,925,5340
1999,1,966,5360
1942,1,881,5297
1998,1,934,5419
1917,1,810,5380
1994,1,999,5299
1966,1,810,5526
1978,1,900,5408
1922,1,844,5322
1970,1,994,5228
1985,1,930,5387
1970,1,908,5326
1990,1,925,5415
1868,1,797,5219
2009,1,965,5381
1955,1,880,5393
1946,1,844,5355
2004,1,965,5392
1851,1,747,5275
2021,1,961,5445
1952,1,902,5321
1989,1,903,5446
1970,1,886,5369
1949,1,862,5397
1892,1,866,5176
1910,1,805,5339
1982,1,924,5373
1996,1,929,5383
1903,1,746,5421
1934,1,849,5349
1942,1,826,5423
1935,1,816,5438
1993,1,965,5332
1993,1,897,5461
2043,1,1002,5447
2006,1,991,5318
1989,1,956,5334
1899,1,771,5370
1901,1,790,5348
1985,1,892,5451
1959,1,876,5380
1917,1,863,5288
1994,1,942,5386
2008,1,994,5324
1945,1,836,5409
1952,1,829,5415
1934,1,861,5332
1920,1,825,5367
1896,1,773,5343
1985,1,952,5352
1952,1,877,5356
1911,1,780,5378
1955,1,886,5358
1997,1,974,5317
2000,1,941,5424
1943,1,861,5375
1890,1,796,5305
1926,1,864,5298
1966,1,872,5415
1929,1,878,5291
2018,1,915,5516
2034,1,1024,5404
1981,1,945,5341
2008,1,911,5477
1975,1,927,5363
1944,1,882,5320
1947,1,865,5372
1890,1,872,5182
2045,1,964,5516
1962,1,870,5381
2018,1,932,5453
1914,1,844,5261
2032,1,965,5431
1920,1,815,5384
1877,1,771,5272
2025,1,947,5487
1971,1,839,5486
1905,1,794,5347
2069,1,1031,5440
1906,1,867,5231
2031,1,1003,5421
1980,1,939,5370
1955,1,806,5499
1960,1,886,5395
1911,1,818,5316
2001,1,967,5327
2051,1,966,5531
2011,1,954,5412
2052,1,1025,5402
2000,1,995,5294
1916,1,894,5236
2040,1,998,5397
1926,1,895,5293
1937,1,754,5525
1919,1,842,5336
1910,1,865,5265
2058,1,989,5492
2011,1,962,5389
1973,1,835,5507
1994,1,914,5431
1973,1,874,5454
1919,1,742,5495
2001,1,890,5474
1999,1,901,5455
1937,1,884,5302
1910,1,778,5408
2009,1,956,5417
1905,1,752,5407
1952,1,867,5335
1964,1,932,5286
1930,1,872,5282
1984,1,934,5355
1925,1,818,5357
1947,1,925,5280
1908,1,816,5314
1929,1,880,5330
1916,1,830,5299
2034,1,938,5512
1959,1,802,5468
1966,1,828,5445
1966,1,874,5440
1965,1,906,5377
2014,1,998,5371
1961,1,865,5420
1973,1,913,5348
2009,1,914,5460
2025,1,947,5480
1954,1,855,5407
2026,1,1016,5368
1998,1,931,5404
1998,1,949,5406
1913,1,781,5367
1956,1,868,5367
1900,1,808,5340
1959,1,909,5339
1978,1,929,5364
1967,1,833,5515
1956,1,912,5309
1981,1,907,5381
1904,1,790,5359
2023,1,959,5470
1923,1,855,5279
1957,1,900,5343
2011,1,985,5359
1945,1,844,5358
1909,1,803,5315
2011,1,945,5440
2048,1,990,5469
1971,1,882,5418
1921,1,795,5378
1925,1,872,5289
1995,1,919,5398
1909,1,773,5398
1932,1,865,5284
1998,1,913,5452
1890,1,770,5342
1911,1,862,5264
1965,1,789,5569
2011,1,1012,5303
1962,1,865,5403
1956,1,841,5432
2023,1,941,5495
1941,1,880,5332
1923,1,807,5413
1968,1,923,5319
2040,1,981,5460
2059,1,989,5510
1958,1,880,5361
2000,1,934,5414
1942,1,857,5373
1945,1,852,5380
1946,1,861,5368
1975,1,935,5318
2017,1,943,5438
1889,1,812,5250
1954,1,874,5350
1934,1,793,5440
2014,1,942,5446
2031,1,987,5431
2018,1,909,5505
1906,1,864,5221
1999,1,973,5367
1994,1,959,5338
2058,1,1016,5501
1943,1,823,5398
1998,1,868,5546
2039,1,957,5510
1966,1,884,5399
2027,1,949,5506
1951,1,841,5427
1973,1,861,5462
2002,1,907,5483
1963,1,942,5296
1985,1,946,5347
1989,1,944,5390
1922,1,833,5303
1957,1,909,5323
1964,1,837,5470
1926,1,838,5338
1865,1,814,5172
1926,1,791,5391
1963,1,873,5413
2006,1,957,5379
1904,1,775,5390
1935,1,813,5414
1921,1,817,5350
1918,1,831,5343
1916,1,842,5313
1936,1,914,5282
2034,1,953,5496
1986,1,960,5317
1982,1,930,5320
2003,1,927,5406
2047,1,991,5450
1951,1,829,5415
2009,1,884,5536
1906,1,807,5313
1917,1,857,5321
1903,1,851,5254
1967,1,877,5378
2015,1,899,5522
1955,1,884,5316
1998,1,909,5446
2025,1,953,5467
2053,1,1044,5364
1874,1,809,5231
1971,1,910,5349
1946,1,852,5374
1922,1,783,5425
2014,1,913,5470
1945,1,808,5496
1895,1,817,5261
1979,1,904,5391
1984,1,899,5461
1926,1,903,5210
1956,1,896,5340
1891,1,799,5287
1924,1,865,5305
2004,1,911,5488
1975,1,878,5408
1940,1,905,5290
1992,1,924,5370
1941,1,848,5377
2016,1,978,5341
1984,1,926,5364
1940,1,857,5407
2019,1,937,5463
1912,1,837,5300
1847,1,738,5307
1952,1,868,5380
1940,1,872,5328
2017,1,961,5437
1908,1,791,5395
1955,1,821,5514
1975,1,886,5425
1991,1,913,5426
1934,1,813,5368
1973,1,899,5392
1952,1,896,5351
1997,1,876,5493
1899,1,796,5318
1975,1,889,5420
1945,1,858,5370
1957,1,928,5300
1963,1,865,5387
1945,1,794,5461
1926,1,821,5331
1971,1,897,5401
1942,1,855,5348
1898,1,756,5424
1896,1,822,5284
1974,1,973,5268
2066,1,1010,5502
1959,1,896,5339
1946,1,846,5397
1989,1,873,5508
2027,1,1006,5386
1985,1,936,5377
1809,1,742,5141
2044,1,966,5505
2023,1,951,5460
1924,1,875,5280
1976,1,906,5356
1883,1,823,5260
1939,1,813,5443
1943,1,881,5316
1916,1,891,5230
1964,1,849,5428
1992,1,920,5352
1958,1,921,5313
1977,1,946,5336
1945,1,844,5379
1944,1,865,5322
2007,1,850,5544
1881,1,852,5178
1890,1,846,5234
1998,1,907,5457
1964,1,930,5282
1973,1,848,5460
1894,1,878,5147
1976,1,932,5338
1940,1,873,5357
1924,1,867,5287
1950,1,867,5379
1860,1,722,5337
1917,1,842,5292
1918,1,819,5363
1957,1,953,5216
1942,1,931,5237
1981,1,926,5364
1955,1,900,5349
1947,1,887,5267
1980,1,911,5414
2037,1,987,5455
1982,1,857,5477
1987,1,957,5323
1964,1,887,5354
1994,1,902,5440
2003,1,934,5406
2024,1,931,5511
1994,1,932,5430
1940,1,892,5304
2030,1,937,5499
1960,1,963,5224
1979,1,901,5444
1975,1,902,5426
1957,1,861,5428
2019,1,913,5486
1967,1,860,5415
1960,1,810,5523
1937,1,937,5186
1956,1,843,5414
1972,1,880,5454
1956,1,860,5398
1895,1,795,5300
1950,1,847,5393
2013,1,923,5487
1942,1,810,5432
1950,1,900,5301
1953,1,865,5367
1932,1,794,5426
1925,1,814,5383
1880,1,819,5233
1958,1,840,5450
1923,1,777,5416
2015,1,907,5476
1961,1,917,5321
1827,1,757,5149
2040,1,915,5542
2003,1,892,5476
1967,1,874,5444
1931,1,860,5344
1942,1,829,5404
1960,1,954,5249
1955,1,915,5279
1959,1,845,5428
2018,1,982,5394
1936,1,861,5343
1963,1,881,5373
1904,1,815,5307
1945,1,801,5491
1889,1,799,5284
1979,1,920,5353
1961,1,954,5261
2017,1,953,5465
1978,1,944,5371
1852,1,818,5164
1965,1,846,5438
1948,1,899,5284
2029,1,943,5522
1966,1,873,5404
1920,1,835,5288
1939,1,886,5300
1933,1,840,5362
1960,1,896,5375
2015,1,960,5423
1878,1,805,5253
1940,1,757,5511
1914,1,832,5326
1920,1,837,5305
1889,1,831,5255
1982,1,900,5399
1922,1,733,5537
2077,1,1037,5468
1909,1,810,5341
1922,1,796,5426
1950,1,896,5332
1986,1,908,5384
1960,1,891,5339
1983,1,935,5368
1908,1,882,5221
1923,1,807,5358
1876,1,838,5199
1963,1,837,5468
2014,1,937,5405
1976,1,860,5443
1936,1,870,5297
1912,1,834,5291
2034,1,975,5464
1932,1,880,5305
2016,1,925,5492
1991,1,921,5419
1905,1,944,5054
1994,1,939,5386
1958,1,906,5340
1946,1,854,5400
1998,1,926,5479
1896,1,841,5260
1979,1,866,5440
1988,1,895,5471
2007,1,914,5490
1911,1,927,5138
1981,1,941,5353
1937,1,857,5347
2021,1,921,5507
1970,1,896,5389
1884,1,811,5291
2043,1,953,5514
1946,1,834,5419
2045,1,991,5448
1939,1,866,5332
2003,1,936,5437
1957,1,824,5482
1911,1,781,5435
1990,1,864,5503
1957,1,889,5338
1831,1,731,5220
1944,1,895,5293
1942,1,934,5218
1975,1,867,5448
1910,1,826,5290
1983,1,896,5420
2038,1,983,5494
1954,1,877,5380
1964,1,898,5329
2019,1,918,5526
1989,1,906,5412
1937,1,846,5361
1955,1,836,5421
1930,1,829,5384
2009,1,916,5474
2004,1,949,5421
1997,1,926,5400
1966,1,896,5391
2013,1,937,5460
1990,1,902,5432
1869,1,776,5251
1971,1,859,5484
2051,1,994,5461
1863,1,728,5343
1934,1,899,5232
1982,1,887,5428
1878,1,768,5299
1971,1,882,5403
1891,1,788,5340
1912,1,805,5365
1972,1,911,5368
2017,1,891,5533
1931,1,789,5422
2014,1,972,5385
1957,1,833,5458
1988,1,877,5498
1923,1,811,5336
1974,1,882,5430
2007,1,990,5329
1936,1,811,5436
1999,1,942,5391
1999,1,870,5549
1952,1,902,5326
1954,1,881,5345
1976,1,894,5417
1930,1,822,5388
1974,1,849,5474
1970,1,849,5448
1962,1,839,5468
1948,1,830,5436
2026,1,950,5463
2005,1,945,5449
1934,1,851,5363
1916,1,812,5395
1872,1,757,5281
1960,1,875,5393
1967,1,902,5380
1910,1,853,5289
1897,1,828,5276
1934,1,851,5334
2023,1,863,5586
1925,1,827,5327
1999,1,907,5462
1907,1,849,5295
1946,1,863,5360
2021,1,930,5452
2001,1,948,5365
1925,1,823,5391
2018,1,969,5406
1985,1,910,5393
2007,1,995,5326
1954,1,833,5465
1923,1,796,5412
1975,1,856,5486
1912,1,802,5366
1968,1,806,5527
1978,1,845,5541
1954,1,863,5379
1888,1,775,5295
1946,1,869,5338
1905,1,811,5324
1994,1,965,5316
2024,1,975,5409
1975,1,949,5322
1919,1,854,5293
1967,1,883,5429
1926,1,830,5379
1981,1,901,5402
1942,1,837,5388
2033,1,1037,5323
1943,1,915,5268
1878,1,801,5256
1996,1,894,5492
1874,1,797,5236
1930,1,863,5293
1913,1,881,5241
2002,1,906,5430
1961,1,925,5287
1960,1,870,5364
1925,1,824,5323
1921,1,804,5392
1998,1,891,5478
1996,1,959,5378
1954,1,878,5357
1973,1,878,5440
1969,1,889,5365
1998,1,907,5471
1985,1,920,5370
1954,1,864,5422
1994,1,900,5424
1977,1,867,5439
2038,1,1019,5394
1937,1,910,5246
1886,1,798,5303
1977,1,865,5445
1968,1,868,5458
1958,1,870,5361
1959,1,801,5512
1988,1,914,5398
1964,1,899,5374
1969,1,911,5387
1965,1,850,5423
1913,1,857,5286
1966,1,887,5410
1923,1,823,5350
1953,1,846,5427
1926,1,908,5247
1910,1,853,5288
1992,1,906,5441
1946,1,864,5356
1922,1,850,5319
1952,1,898,5347
1968,1,904,5372
1844,1,797,5198
1874,1,804,5212
1992,1,941,5379
1994,1,944,5381
1954,1,814,5454
1980,1,879,5445
1998,1,924,5458
1934,1,808,5415
2025,1,942,5464
1936,1,830,5406
1987,1,924,5377
1970,1,869,5441
1981,1,955,5297
1955,1,823,5470
1940,1,836,5419
1977,1,889,5412
2076,1,1054,5417
1940,1,864,5373
2033,1,904,5574
1978,1,913,5362
1954,1,906,5343
2034,1,972,5456
1995,1,932,5380
1978,1,911,5382
1941,1,924,5269
1994,1,900,5464
2049,1,972,5490
1949,1,896,5296
1952,1,878,5352
1884,1,782,5332
1919,1,834,5326
1967,1,880,5412
2012,1,944,5460
1978,1,939,5329
1970,1,892,5418
1950,1,850,5390
1922,1,849,5265
1953,1,832,5424
2009,1,1024,5332
1962,1,914,5307
1999,1,922,5456
2012,1,962,5373
1911,1,815,5343
1942,1,822,5399
1945,1,850,5425
1935,1,873,5354
1956,1,848,5412
2008,1,920,5479
1976,1,877,5451
1954,1,865,5400
1970,1,918,5355
1875,1,785,5281
1930,1,831,5354
1893,1,816,5309
2039,1,978,5414
1878,1,720,5398
1947,1,871,5369
1972,1,907,5385
1935,1,851,5369
1943,1,860,5355
1978,1,858,5518
1928,1,853,5327
1979,1,934,5377
1919,1,857,5296
1953,1,879,5364
1975,1,901,5381
1997,1,900,5469
2016,1,1030,5285
1894,1,865,5220
1946,1,855,5373
1961,1,915,5290
1939,1,897,5267
1971,1,863,5458
1991,1,913,5422
1944,1,828,5432
1898,1,872,5176
1970,1,865,5425
1966,1,889,5374
1948,1,875,5393
2007,1,963,5412
1985,1,937,5349
1963,1,943,5310
2002,1,937,5413
2054,1,1017,5480
1931,1,827,5350
1965,1,925,5304
1989,1,927,5390
2015,1,976,5407
2019,1,931,5490
1938,1,872,5297
1887,1,774,5342
1986,1,930,5388
1938,1,914,5256
1914,1,784,5373
1955,1,931,5295
1944,1,866,5360
1986,1,926,5383
1929,1,857,5347
1959,1,928,5281
1899,1,780,5367
1978,1,867,5437
1957,1,870,5397
1963,1,893,5393
1934,1,855,5320
1968,1,890,5409
1935,1,867,5319
1934,1,822,5387
1983,1,904,5405
1969,1,928,5365
1927,1,840,5356
1991,1,899,5456
1969,1,874,5414
1951,1,872,5389
2007,1,921,5469
1935,1,817,5386
1955,1,826,5481
1979,1,918,5365
2007,1,950,5392
1991,1,903,5440
1944,1,917,5238
1984,1,1002,5271
1972,1,828,5509
1971,1,879,5436
2003,1,906,5437
1976,1,864,5459
1960,1,878,5392
1975,1,910,5362
2003,1,867,5517
1982,1,884,5470
2049,1,957,5516
1909,1,831,5265
1974,1,891,5419
1927,1,903,5277
1985,1,949,5329
1954,1,836,5449
1976,1,905,5392
1951,1,832,5438
1926,1,822,5377
1937,1,808,5428
1956,1,895,5338
1961,1,896,5348
1938,1,844,5345
1922,1,818,5388
1877,1,802,5250
1920,1,808,5368
1988,1,854,5505
1987,1,860,5508
2006,1,939,5433
1979,1,865,5488
1991,1,891,5439
1938,1,908,5263
2009,1,921,5458
1929,1,856,5378
1953,1,849,5424
1927,1,836,5344
2005,1,928,5403
1882,1,859,5186
2026,1,950,5442
1933,1,828,5353
1935,1,814,5352
2015,1,921,5462
1960,1,858,5443
1917,1,856,5291
1972,1,861,5453
1924,1,776,5444
1996,1,931,5409
1992,1,894,5473
2013,1,959,5417
1913,1,805,5362
1903,1,802,5312
1990,1,904,5425
1919,1,878,5264
1920,1,892,5242
1962,1,884,5401
2001,1,986,5308
1925,1,858,5314
1938,1,920,5244
1945,1,850,5370
1917,1,831,5324
1953,1,899,5336
1978,1,883,5464
