V,E,C,genus,B,largest
2037,2830,57,850,5810,1962
2011,2776,63,828,5769,1897
2122,3111,43,1032,5739,2056
2050,2860,61,871,5837,1956
2044,2866,54,876,5769,1961
2063,2932,62,931,5753,1974
2071,2944,56,929,5765,1987
1994,2782,77,865,5681,1894
2049,2874,64,889,5770,1923
2000,2720,54,774,5798,1918
2014,2812,56,854,5703,1942
2058,2922,58,922,5748,1988
2059,2931,51,923,5713,1985
2019,2758,67,806,5848,1940
2069,2965,59,955,5719,1932
2044,2825,53,834,5822,1967
2019,2770,59,810,5830,1944
2023,2787,59,823,5788,1937
2023,2822,70,869,5741,1926
2016,2804,50,838,5748,1943
2086,3010,59,983,5713,2004
2046,2828,45,827,5821,1977
2007,2753,62,808,5808,1912
2031,2824,62,855,5786,1930
2091,2970,56,935,5818,2005
2052,2901,52,901,5732,1977
1951,2617,69,735,5739,1842
2072,2945,50,923,5772,2002
2043,2867,49,873,5747,1976
2041,2902,65,926,5669,1960
2053,2908,54,909,5715,1976
2001,2747,65,811,5768,1913
2081,2915,48,882,5837,2011
2025,2796,47,818,5795,1975
2055,2906,68,919,5755,1950
2052,2892,52,892,5738,1979
2031,2819,62,850,5760,1941
1979,2721,49,791,5687,1923
2028,2863,64,899,5699,1943
2088,3013,53,978,5717,2013
2030,2799,67,836,5817,1946
2126,3115,38,1027,5735,2079
2014,2810,58,854,5735,1914
2057,2927,47,917,5716,1970
2012,2752,51,791,5765,1938
2040,2808,59,827,5871,1973
2028,2798,72,842,5817,1922
2080,2989,46,955,5712,1999
2046,2877,39,870,5766,1989
2000,2738,66,804,5739,1914
2045,2899,55,909,5699,1964
2076,2955,41,920,5772,1999
2055,2930,69,944,5715,1962
2117,3056,51,990,5791,2050
2056,2884,60,888,5767,1980
2041,2810,64,833,5821,1968
2035,2845,59,869,5748,1960
1993,2720,79,806,5762,1848
2082,2932,51,901,5839,2009
2082,2989,58,965,5736,1985
2083,3010,53,980,5722,2004
2033,2816,60,843,5781,1905
2065,2936,59,930,5741,1986
2050,2893,63,906,5745,1970
2033,2798,62,827,5861,1938
2014,2780,51,817,5775,1960
2079,2963,54,938,5737,2002
2058,2875,61,878,5780,1982
2053,2902,55,904,5736,1986
2069,2913,59,903,5819,1948
2044,2909,47,912,5678,1973
2069,2898,53,882,5822,2001
2022,2811,61,850,5762,1949
2041,2836,72,867,5805,1908
2049,2876,48,875,5775,1978
2011,2765,62,816,5764,1931
2106,3046,49,989,5754,2050
2030,2791,59,820,5828,1963
2064,2917,60,913,5758,1965
2024,2816,65,857,5724,1936
2086,2990,40,944,5735,2027
2023,2840,41,858,5693,1957
2072,2986,45,959,5705,2016
1983,2739,62,818,5685,1899
2028,2827,51,850,5777,1934
2018,2829,63,874,5716,1930
2060,2897,46,883,5769,1998
2022,2786,44,808,5786,1968
2081,2956,65,940,5829,1988
2063,2937,56,930,5733,1998
2059,2898,65,904,5794,1961
2004,2786,54,836,5700,1934
2069,2947,62,940,5773,1987
2039,2864,59,884,5738,1965
2048,2825,55,832,5866,1989
2080,3012,61,993,5705,1999
1994,2650,74,730,5906,1896
2046,2835,67,856,5840,1957
